_TYPE_,_FREQ_,_STAT_,diam1,diam2,diam3,diam4,diam5,diam6
0,23,N,23,23,23,23,21,16
0,23,MIN,2.76,2.78,2.77,2.79,2.79,2.79
0,23,MAX,3.25,3.34,3.34,3.38,3.47,3.31
0,23,MEAN,2.8786956522,2.9313043478,2.9539130435,2.9839130435,3.0095238095,2.976875
0,23,STD,0.12151709,0.1334951258,0.1310703881,0.1363064439,0.1593573403,0.1153960571
