"Year"	"NDB_No"	"Amount"	"Measure"	"Ingredients"
2006	11354	3	"cups"	"Potatoes, white, flesh and skin, raw"
2006	6043	10.75	"oz"	"Soup, cream of mushroom, canned, condensed"
2006	1077	1.5	"cups"	"Milk, whole, 3.25% milkfat, with added vitamin D"
2006	1032	0.5	"cup"	"Cheese, parmesan, grated"
