"Year"	"NDB_No"	"Amount"	"Measure"	"Ingredients"
1936	11354	4	"cups"	"Potatoes, white, flesh and skin, raw"
1936	1001	3	"Tbs"	"Butter, salted"
1936	20082	3	"Tbs"	"Wheat flour, white, all-purpose, self-rising, enriched"
1936	1077	1.5	"cups"	"Milk, whole, 3.25% milkfat, with added vitamin D"
1936	1032	0.25	"lb"	"Cheese, parmesan, grated"
1936	11943	0.75	"cup"	"Pimento, canned"
