Recipe,Year,MinServings,MaxServings
Beef Stroganoff,1997,4,4
Beef Stroganoff,2006,4,4
Eggs in a Nest,1936,4,4
Eggs in a Nest,2006,4,4
Scalloped Potatoes,1936,8,8
Scalloped Potatoes,2006,6,6
